algorithm,file,iteration,tempo,memoria
randomization,input_100000_2.txt,8,0.09316301345825195,4
randomization,input_100000_2.txt,9,0.09554910659790039,4
randomization,input_100000_2.txt,10,0.09339499473571777,4
randomization,input_100000_5.txt,1,0.09275507926940918,20
randomization,input_100000_5.txt,2,0.09312629699707031,20
randomization,input_100000_5.txt,3,0.09435057640075684,20
randomization,input_100000_5.txt,4,0.09319210052490234,20
randomization,input_100000_5.txt,5,0.0939028263092041,20
randomization,input_100000_5.txt,6,0.09504294395446777,20
randomization,input_100000_5.txt,7,0.09441924095153809,20
randomization,input_100000_5.txt,8,0.09444761276245117,20
randomization,input_100000_5.txt,9,0.09445476531982422,20
randomization,input_100000_5.txt,10,0.09474897384643555,20
randomization,input_100000_10.txt,1,0.09572553634643555,61
randomization,input_100000_10.txt,2,0.09482550621032715,61
randomization,input_100000_10.txt,3,0.0946805477142334,61
randomization,input_100000_10.txt,4,0.0946657657623291,61
randomization,input_100000_10.txt,5,0.09497380256652832,61
randomization,input_100000_10.txt,6,0.0949697494506836,61
randomization,input_100000_10.txt,7,0.0948324203491211,61
randomization,input_100000_10.txt,8,0.09484004974365234,61
randomization,input_100000_10.txt,9,0.09477853775024414,61
randomization,input_100000_10.txt,10,0.0959322452545166,61
randomization,input_1000000_2.txt,1,0.9660317897796631,2
randomization,input_1000000_2.txt,2,0.9673361778259277,2
randomization,input_1000000_2.txt,3,0.967634916305542,2
randomization,input_1000000_2.txt,4,0.9698376655578613,2
randomization,input_1000000_2.txt,5,0.9615011215209961,2
randomization,input_1000000_2.txt,6,0.9680581092834473,2
randomization,input_1000000_2.txt,7,0.9685273170471191,2
randomization,input_1000000_2.txt,8,0.961066484451294,2
randomization,input_1000000_2.txt,9,0.9686310291290283,2
randomization,input_1000000_2.txt,10,0.9719538688659668,2
randomization,input_1000000_5.txt,1,0.9499368667602539,13
randomization,input_1000000_5.txt,2,0.9822521209716797,13
randomization,input_1000000_5.txt,3,0.9590566158294678,13
randomization,input_1000000_5.txt,4,0.9575326442718506,13
randomization,input_1000000_5.txt,5,0.9556944370269775,13
randomization,input_1000000_5.txt,6,0.9637320041656494,13
randomization,input_1000000_5.txt,7,0.9563829898834229,13
randomization,input_1000000_5.txt,8,0.9574325084686279,13
randomization,input_1000000_5.txt,9,0.9557492733001709,13
randomization,input_1000000_5.txt,10,0.951155424118042,13
randomization,input_1000000_10.txt,1,0.9558365345001221,63
randomization,input_1000000_10.txt,2,0.9611172676086426,63
randomization,input_1000000_10.txt,3,0.9570260047912598,63
randomization,input_1000000_10.txt,4,0.9623911380767822,63
randomization,input_1000000_10.txt,5,0.957721471786499,63
randomization,input_1000000_10.txt,6,0.9573719501495361,63
randomization,input_1000000_10.txt,7,0.9525647163391113,63
randomization,input_1000000_10.txt,8,0.962181806564331,63
randomization,input_1000000_10.txt,9,0.9663450717926025,63
randomization,input_1000000_10.txt,10,0.9536693096160889,63
